record_id,supplier_id,supplier_name,invoice_number,invoice_date,date_entered,currency,net_amount,tax_amount,gross_amount,cost_centre,entered_by,status
FR-00155,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/25/179,2025-12-16,2025-12-23,LKR,342835.00,61710.30,404545.30,CC-RAJ,nimali.p,Posted
FR-00156,SUP-039,Vintage Cellars Lanka (Pvt) Ltd,VCL/26/367,2026-01-11,2026-01-18,LKR,166040.00,29887.20,195927.20,CC-MLV,nimali.p,Posted
FR-00157,SUP-038,Golden Grain Flour Mills PLC,GGF-0517,2025-12-04,2025-12-13,LKR,111768.00,20118.24,131886.24,CC-MLV,nimali.p,Posted
FR-00158,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0480,2026-02-02,2026-02-06,LKR,417032.00,75065.76,492097.76,CC-BAT,sunil.j,Posted
FR-00159,SUP-011,Kandy Provision Stores (Pvt) Ltd,KPS2026217,2026-01-07,2026-01-14,LKR,583469.00,105024.42,688493.42,CC-MLV,nimali.p,Posted
FR-00160,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0484,2026-01-20,2026-01-23,LKR,336011.00,60481.98,396492.98,CC-RAJ,nimali.p,Posted
FR-00161,SUP-013,Orient Spice Millers (Pvt) Ltd,OSM/26/175,2026-01-15,2026-01-22,LKR,553634.00,99654.12,653288.12,CC-MLV,nimali.p,Posted
FR-00162,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026613,2026-02-21,2026-02-23,LKR,374346.00,0.00,374346.00,CC-BAT,nimali.p,Posted
FR-00163,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/25/632,2025-12-13,2025-12-15,LKR,263025.00,47344.50,310369.50,CC-RAJ,sunil.j,Posted
FR-00164,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/26/613,2026-01-13,2026-01-17,LKR,207985.00,37437.30,245422.30,CC-RAJ,nimali.p,Posted
FR-00165,SUP-004,Negombo Bay Seafoods (Pvt) Ltd,NBS/25/554,2025-12-24,2025-12-30,LKR,538991.00,0.00,538991.00,CC-MLV,nimali.p,Posted
FR-00166,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026614,2026-02-01,2026-02-10,LKR,270085.00,0.00,270085.00,CC-C03,sunil.j,Posted
FR-00167,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000604,2026-02-26,2026-03-03,LKR,603956.00,108712.08,712668.08,CC-CKN,nimali.p,Posted
FR-00168,SUP-041,Sithumina Hardware & Electricals,000224,2025-12-19,2025-12-27,LKR,531671.00,0.00,531671.00,CC-CKN,nimali.p,Posted
FR-00169,SUP-018,Litro Gas Lanka Distributors (Pvt) Ltd,000502,2025-12-18,2025-12-27,LKR,360268.00,64848.24,425116.24,CC-NUG,nimali.p,Posted
FR-00170,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0326,2026-02-26,2026-03-04,LKR,55440.00,9979.20,65419.20,CC-NUG,sunil.j,Posted
FR-00171,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2026301,2026-01-28,2026-02-04,LKR,319109.00,0.00,319109.00,CC-NUG,nimali.p,Posted
FR-00172,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000274,2026-02-03,2026-02-06,LKR,489284.00,88071.12,577355.12,CC-BAT,nimali.p,Posted
FR-00173,SUP-020,Ecoware Disposables (Pvt) Ltd,ED2025243,2025-12-21,2025-12-22,LKR,474054.00,85329.72,559383.72,CC-C07,sunil.j,Posted
FR-00174,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000431,2025-12-14,2025-12-20,LKR,125370.00,22566.60,147936.60,CC-MLV,nimali.p,Posted
FR-00175,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000281,2026-02-08,2026-02-17,LKR,95649.00,17216.82,112865.82,CC-BAT,nimali.p,Posted
FR-00176,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2025647,2025-12-11,2025-12-14,LKR,172347.00,31022.46,203369.46,CC-RAJ,nimali.p,Posted
FR-00177,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/26/1080,2026-03-23,2026-03-30,LKR,357036.00,64266.48,421302.48,CC-CKN,nimali.p,Posted
FR-00178,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000420,2026-01-27,2026-02-03,LKR,299199.00,53855.82,353054.82,CC-C03,nimali.p,Posted
FR-00179,SUP-027,Nexus Waste Management (Pvt) Ltd,000458,2025-12-01,2025-12-02,LKR,571049.00,102788.82,673837.82,CC-RAJ,nimali.p,Posted
FR-00180,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2026323,2026-02-28,2026-03-03,LKR,358003.00,64440.54,422443.54,CC-C03,sunil.j,Posted
FR-00181,SUP-024,Coolzone Refrigeration Engineers (Pvt) Ltd,CRE2025529,2025-12-14,2025-12-16,LKR,491023.00,88384.14,579407.14,CC-C03,nimali.p,Posted
FR-00182,SUP-041,Sithumina Hardware & Electricals,000228,2025-12-14,2025-12-15,LKR,552208.00,0.00,552208.00,CC-MLV,sunil.j,Posted
FR-00183,SUP-040,Everclean Laundry (Pvt) Ltd,EL/26/665,2026-01-11,2026-01-17,LKR,324147.00,58346.46,382493.46,CC-RAJ,nimali.p,Posted
FR-00184,SUP-019,Metro Packaging Solutions (Pvt) Ltd,MPS2025312,2025-12-06,2025-12-15,LKR,215842.00,38851.56,254693.56,CC-CKN,nimali.p,Posted
FR-00185,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000432,2026-02-24,2026-02-27,LKR,51195.00,9215.10,60410.10,CC-BAT,nimali.p,Posted
FR-00186,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000627,2025-12-11,2025-12-17,LKR,96035.00,17286.30,113321.30,CC-BAT,nimali.p,Posted
FR-00187,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2026306,2026-01-17,2026-01-25,LKR,606401.00,0.00,606401.00,CC-C07,nimali.p,Posted
FR-00188,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/26/649,2026-01-28,2026-01-30,LKR,109268.00,19668.24,128936.24,CC-BAT,nimali.p,Posted
FR-00189,SUP-041,Sithumina Hardware & Electricals,000216,2025-12-12,2025-12-19,LKR,112094.00,0.00,112094.00,CC-RAJ,nimali.p,Posted
FR-00190,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0294,2026-02-03,2026-02-11,LKR,216571.00,38982.78,255553.78,CC-MLV,nimali.p,Posted
FR-00191,SUP-001,Ceylon Fresh Produce (Pvt) Ltd,CFP-0444,2026-01-02,2026-01-10,LKR,137632.00,0.00,137632.00,CC-RAJ,nimali.p,Posted
FR-00192,SUP-001,Ceylon Fresh Produce (Pvt) Ltd,000261,2025-12-21,2025-12-24,LKR,571133.00,0.00,571133.00,CC-NUG,sunil.j,Posted
FR-00193,SUP-030,Ceylinco Kitchen Equipment (Pvt) Ltd,CKE-0507,2026-02-17,2026-02-23,LKR,116846.00,21032.28,137878.28,CC-RAJ,nimali.p,Posted
FR-00194,SUP-030,Ceylinco Kitchen Equipment (Pvt) Ltd,CKE-0506,2026-01-23,2026-01-26,LKR,367715.00,66188.70,433903.70,CC-NUG,nimali.p,Posted
FR-00195,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/26/644,2026-02-19,2026-02-26,LKR,414062.00,74531.16,488593.16,CC-C07,nimali.p,Posted
FR-00196,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0320,2026-01-16,2026-01-20,LKR,150874.00,27157.32,178031.32,CC-MLV,nimali.p,Posted
FR-00197,SUP-021,Colombo Linen Services (Pvt) Ltd,CLS-0339,2025-12-27,2026-01-05,LKR,383456.00,69022.08,452478.08,CC-MLV,sunil.j,Posted
FR-00198,SUP-043,Digital Shield IT Solutions (Pvt) Ltd,DSI-0462,2026-01-23,2026-01-30,LKR,202101.00,36378.18,238479.18,CC-RAJ,nimali.p,Posted
FR-00199,SUP-004,Negombo Bay Seafoods (Pvt) Ltd,NBS/25/552,2025-12-09,2025-12-11,LKR,74247.00,0.00,74247.00,CC-MLV,nimali.p,Posted
FR-00200,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV2026628,2026-02-18,2026-02-25,LKR,248565.00,0.00,248565.00,CC-CKN,sunil.j,Posted
FR-00201,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0302,2026-02-24,2026-02-28,LKR,183469.00,33024.42,216493.42,CC-NUG,nimali.p,Posted
FR-00202,SUP-034,Sunrise Bakery Products (Pvt) Ltd,SBP-0240,2026-01-16,2026-01-24,LKR,73046.00,13148.28,86194.28,CC-C03,sunil.j,Posted
FR-00203,SUP-016,Highgrown Tea Company (Pvt) Ltd,HTC-0308,2025-12-20,2025-12-24,LKR,500515.00,90092.70,590607.70,CC-CKN,nimali.p,Posted
FR-00204,SUP-027,Nexus Waste Management (Pvt) Ltd,000452,2026-01-24,2026-01-26,LKR,384039.00,69127.02,453166.02,CC-C03,nimali.p,Posted
FR-00205,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0631,2025-12-13,2025-12-20,LKR,147996.00,26639.28,174635.28,CC-MLV,sunil.j,Posted
FR-00206,SUP-006,Prima Meats & Poultry (Pvt) Ltd,PM2025289,2025-12-24,2025-12-31,LKR,324371.00,0.00,324371.00,CC-C03,nimali.p,Posted
FR-00207,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0634,2026-02-25,2026-03-01,LKR,73749.00,13274.82,87023.82,CC-CKN,nimali.p,Posted
FR-00208,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000276,2026-01-20,2026-01-23,LKR,580033.00,104405.94,684438.94,CC-C07,nimali.p,Posted
FR-00209,SUP-010,Serendib Creamery (Pvt) Ltd,000645,2025-12-25,2026-01-03,LKR,78535.00,14136.30,92671.30,CC-NUG,nimali.p,Posted
FR-00210,SUP-034,Sunrise Bakery Products (Pvt) Ltd,SBP-0227,2026-01-19,2026-01-20,LKR,614298.00,110573.64,724871.64,CC-MLV,nimali.p,Posted
FR-00211,SUP-002,Nuwara Highland Vegetables (Pvt) Ltd,NHV-0361,2026-01-03,2026-01-06,LKR,48079.00,0.00,48079.00,CC-NUG,nimali.p,Posted
FR-00212,SUP-018,Litro Gas Lanka Distributors (Pvt) Ltd,000507,2026-02-20,2026-02-28,LKR,556757.00,100216.26,656973.26,CC-NUG,nimali.p,Posted
FR-00213,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026654,2026-02-21,2026-02-22,LKR,171679.00,30902.22,202581.22,CC-NUG,sunil.j,Posted
FR-00214,SUP-027,Nexus Waste Management (Pvt) Ltd,000454,2026-01-25,2026-01-31,LKR,40048.00,7208.64,47256.64,CC-C03,nimali.p,Posted
FR-00215,SUP-010,Serendib Creamery (Pvt) Ltd,000656,2025-12-07,2025-12-09,LKR,234684.00,42243.12,276927.12,CC-RAJ,nimali.p,Posted
FR-00216,SUP-003,Green Acre Agro Exports (Pvt) Ltd,GAA-0510,2026-02-15,2026-02-24,LKR,352309.00,0.00,352309.00,CC-C07,sunil.j,Posted
FR-00217,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/25/643,2025-12-28,2026-01-01,LKR,528613.00,95150.34,623763.34,CC-NUG,nimali.p,Posted
FR-00218,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/26/636,2026-01-13,2026-01-21,LKR,35144.00,6325.92,41469.92,CC-CKN,nimali.p,Posted
FR-00219,SUP-020,Ecoware Disposables (Pvt) Ltd,ED2026240,2026-01-24,2026-01-25,LKR,297201.00,53496.18,350697.18,CC-MLV,nimali.p,Posted
FR-00220,SUP-022,Hygiene First Chemicals (Pvt) Ltd,HFC/26/648,2026-02-28,2026-03-08,LKR,151725.00,27310.50,179035.50,CC-C07,sunil.j,Posted
FR-00221,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/26/617,2026-01-26,2026-01-30,LKR,382833.00,68909.94,451742.94,CC-NUG,sunil.j,Posted
FR-00222,SUP-023,Sentinel Pest Control Services (Pvt) Ltd,000279,2026-01-25,2026-02-03,LKR,420561.00,75700.98,496261.98,CC-RAJ,nimali.p,Posted
FR-00223,SUP-008,Lanka Dairy Products (Pvt) Ltd,LDP/25/567,2025-12-10,2025-12-11,LKR,123284.00,22191.12,145475.12,CC-CKN,nimali.p,Posted
FR-00224,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026635,2026-01-06,2026-01-15,LKR,368392.00,66310.56,434702.56,CC-C03,nimali.p,Posted
FR-00225,SUP-001,Ceylon Fresh Produce (Pvt) Ltd,000265,2025-12-20,2025-12-21,LKR,469031.00,0.00,469031.00,CC-CKN,nimali.p,Posted
FR-00226,SUP-003,Green Acre Agro Exports (Pvt) Ltd,GAA-0509,2026-01-26,2026-02-03,LKR,248128.00,0.00,248128.00,CC-MLV,nimali.p,Posted
FR-00227,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000609,2026-01-12,2026-01-14,LKR,408154.00,73467.72,481621.72,CC-NUG,nimali.p,Posted
FR-00228,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026649,2026-01-01,2026-01-03,LKR,433870.00,78096.60,511966.60,CC-MLV,nimali.p,Posted
FR-00229,SUP-005,Chilaw Fisheries Company Limited,000285,2025-12-05,2025-12-07,LKR,347895.00,0.00,347895.00,CC-C03,nimali.p,Posted
FR-00230,SUP-004,Negombo Bay Seafoods (Pvt) Ltd,NBS/26/558,2026-01-06,2026-01-15,LKR,588023.00,0.00,588023.00,CC-MLV,sunil.j,Posted
FR-00231,SUP-037,Sea Breeze Prawn Farms (Pvt) Ltd,SBP2026268,2026-01-25,2026-02-01,LKR,45877.00,0.00,45877.00,CC-CKN,nimali.p,Posted
FR-00232,SUP-026,Guardian Facility Management (Pvt) Ltd,GFM/25/622,2025-12-11,2025-12-15,LKR,480734.00,86532.12,567266.12,CC-NUG,nimali.p,Posted
FR-00233,SUP-040,Everclean Laundry (Pvt) Ltd,EL/26/669,2026-02-06,2026-02-10,LKR,529311.00,95275.98,624586.98,CC-RAJ,nimali.p,Posted
FR-00234,SUP-031,Bakers Choice Ingredients (Pvt) Ltd,BCI/26/630,2026-02-14,2026-02-18,LKR,495455.00,89181.90,584636.90,CC-BAT,sunil.j,Posted
FR-00235,SUP-004,Negombo Bay Seafoods (Pvt) Ltd,NBS-0499,2026-02-01,2026-02-06,LKR,137670.00,0.00,137670.00,CC-C03,nimali.p,Posted
FR-00236,SUP-025,Kitchenaid Technical Services (Pvt) Ltd,KTS-0624,2025-12-10,2025-12-17,LKR,184449.00,33200.82,217649.82,CC-C03,nimali.p,Posted
FR-00237,SUP-007,Crescent Halal Foods (Pvt) Ltd,CHF-0341,2025-12-13,2025-12-20,LKR,477869.00,0.00,477869.00,CC-BAT,nimali.p,Posted
FR-00238,SUP-003,Green Acre Agro Exports (Pvt) Ltd,GAA-0505,2025-12-03,2025-12-09,LKR,106937.00,0.00,106937.00,CC-MLV,nimali.p,Posted
FR-00239,SUP-009,Lanka Dairies Limited,000530,2026-01-02,2026-01-07,LKR,417969.00,75234.42,493203.42,CC-CKN,sunil.j,Posted
FR-00240,SUP-033,Vidul Print & Stationery (Pvt) Ltd,VP2026364,2026-02-17,2026-02-18,LKR,355889.00,64060.02,419949.02,CC-RAJ,sunil.j,Posted
FR-00241,SUP-017,Aqua Pure Bottlers (Pvt) Ltd,APB/26/622,2026-02-25,2026-02-27,LKR,325292.00,58552.56,383844.56,CC-CKN,nimali.p,Posted
FR-00242,SUP-042,Uniworld Staff Uniforms (Pvt) Ltd,USU2026659,2026-02-15,2026-02-24,LKR,432914.00,77924.52,510838.52,CC-RAJ,nimali.p,Posted
FR-00243,SUP-015,Island Beverage Distributors (Pvt) Ltd,IBD2026146,2026-01-02,2026-01-07,LKR,348550.00,62739.00,411289.00,CC-C07,nimali.p,Posted
FR-00244,SUP-012,Ruhunu Rice & Grain Traders,RR-0495,2026-01-03,2026-01-09,LKR,53100.00,9558.00,62658.00,CC-C07,sunil.j,Posted
FR-00245,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000617,2026-02-14,2026-02-18,LKR,33809.00,6085.62,39894.62,CC-NUG,sunil.j,Posted
FR-00246,SUP-005,Chilaw Fisheries Company Limited,000294,2026-02-17,2026-02-26,LKR,270754.00,0.00,270754.00,CC-NUG,nimali.p,Posted
FR-00247,SUP-024,Coolzone Refrigeration Engineers (Pvt) Ltd,CRE2025552,2025-12-18,2025-12-27,LKR,220887.00,39759.66,260646.66,CC-RAJ,sunil.j,Posted
FR-00248,SUP-038,Golden Grain Flour Mills PLC,GGF-0514,2025-12-17,2025-12-18,LKR,367183.00,66092.94,433275.94,CC-BAT,sunil.j,Posted
FR-00249,SUP-036,Ranmuthu Coconut Products (Pvt) Ltd,000428,2025-12-23,2025-12-26,LKR,123393.00,22210.74,145603.74,CC-MLV,nimali.p,Posted
FR-00250,SUP-014,Silverline Oils & Fats (Pvt) Ltd,000614,2025-12-22,2025-12-24,LKR,49086.00,8835.48,57921.48,CC-CKN,nimali.p,Posted
